image_file,human_label,clean_top1_label,clean_top1_idx,clean_top1_prob,hc_top1_label,hc_top1_idx,hc_top1_prob,hc_success,hc_changed_pred,hc_linf,hc_l2,hc_num_pixels_changed,hc_changed_perc,hc_runtime_s,hc_epsilon
fish.jpg,goldfish,goldfish,1,0.9828678369522095,goldfish,1,0.9159075021743774,0,0,0.05,345.3342590332031,1305,0.02600845025510204,153.9125028970011,0.05
fish.jpg,goldfish,goldfish,1,0.9828678369522095,goldfish,1,0.6461459398269653,0,0,0.1,675.462646484375,1372,0.02734375,164.35721058199852,0.1
fish.jpg,goldfish,goldfish,1,0.9828678369522095,puffer,397,0.47934606671333313,1,1,0.19215686274509805,852.2393798828125,885,0.017637914540816327,105.88034641500417,0.2
fish.jpg,goldfish,goldfish,1,0.9828678369522095,puffer,397,0.48658230900764465,1,1,0.20784313725490197,968.9752197265625,688,0.01371173469387755,76.44724394500372,0.3
castle.jpg,castle,castle,483,0.8645304441452026,castle,483,0.7846226096153259,0,0,0.05,343.7543640136719,1306,0.026028380102040817,159.13049644199782,0.05
castle.jpg,castle,castle,483,0.8645304441452026,castle,483,0.6370710134506226,0,0,0.1,702.2868041992188,1341,0.02672592474489796,158.23165290200268,0.1
castle.jpg,castle,castle,483,0.8645304441452026,palace,698,0.40829798579216003,1,1,0.2,1117.0845947265625,1083,0.02158402423469388,129.9328801379961,0.2
castle.jpg,castle,castle,483,0.8645304441452026,palace,698,0.3578181266784668,1,1,0.2235294117647059,1247.3724365234375,852,0.016980229591836735,100.18458872499468,0.3
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.8727301359176636,0,0,0.05,316.0475769042969,1191,0.023736447704081634,158.68353049000143,0.05
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.8416315317153931,0,0,0.09803921568627451,578.8557739257812,1142,0.022759885204081634,156.86132436800108,0.1
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.743846595287323,0,0,0.2,1071.6739501953125,1052,0.020966198979591837,155.00497344400355,0.2
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.6546844244003296,0,0,0.3,1516.4974365234375,994,0.019810267857142856,154.58310509700095,0.3
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2624797821044922,1,0,0.0,0.0,0,0.0,0.6385448750006617,0.05
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2625320851802826,1,0,0.00392156862745098,3.872983455657959,5,9.964923469387755e-05,0.6361058809998212,0.1
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.26265227794647217,1,0,0.00784313725490196,4.242640495300293,3,5.978954081632653e-05,0.6417958770034602,0.2
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2626758813858032,1,0,0.01568627450980392,10.24695110321045,4,7.971938775510203e-05,1.138191967002058,0.3
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.32876622676849365,1,1,0.05,298.04425048828125,1090,0.021723533163265307,123.86869181899965,0.05
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.33407875895500183,1,1,0.07058823529411765,356.7029724121094,684,0.01363201530612245,77.15566380399832,0.1
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.34281960129737854,1,1,0.09803921568627451,357.16241455078125,355,0.007075095663265306,39.63754357399739,0.2
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.35449835658073425,1,1,0.10980392156862745,331.9548034667969,208,0.004145408163265306,23.10960162599804,0.3
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.9987359642982483,0,0,0.047058823529411764,344.4459228515625,1307,0.02604830994897959,154.22995390000142,0.05
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.9900686144828796,0,0,0.1,693.0380859375,1361,0.02712452168367347,151.4690467399996,0.1
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.818149983882904,0,0,0.19607843137254902,1340.306640625,1394,0.027782206632653062,152.99987586100178,0.2
bubble.jpeg,bubble,bubble,971,0.9997245669364929,cassette,481,0.5008410811424255,1,1,0.27450980392156865,1718.78125,1218,0.024274553571428572,130.51846467400173,0.3
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7821557521820068,1,0,0.0,0.0,0,0.0,0.6203487759994459,0.05
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7823115587234497,1,0,0.00392156862745098,3.872983455657959,5,9.964923469387755e-05,0.6156198710013996,0.1
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7823935151100159,1,0,0.00784313725490196,5.74456262588501,5,9.964923469387755e-05,0.6331626219980535,0.2
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7822377681732178,1,0,0.01568627450980392,10.816654205322266,5,9.964923469387755e-05,0.6153528089998872,0.3
hay.jpeg,hay,hay,958,0.9700143933296204,hay,958,0.8672531247138977,0,0,0.05,357.11114501953125,1305,0.02600845025510204,154.36385605599935,0.05
hay.jpeg,hay,hay,958,0.9700143933296204,hay,958,0.6537458896636963,0,0,0.1,711.0073852539062,1395,0.027802136479591837,153.90163003199996,0.1
hay.jpeg,hay,hay,958,0.9700143933296204,dam,525,0.3538459241390228,1,1,0.2,1083.206298828125,1040,0.02072704081632653,117.70789342100034,0.2
