image_file,human_label,clean_top1_label,clean_top1_idx,clean_top1_prob,hc_top1_label,hc_top1_idx,hc_top1_prob,hc_success,hc_changed_pred,hc_linf,hc_l2,hc_num_pixels_changed,hc_changed_perc,hc_runtime_s,hc_epsilon
fish.jpg,goldfish,goldfish,1,0.9828678369522095,rock_beauty,392,0.43144938349723816,1,1,0.05,3297.5732421875,47671,0.9500757334183674,104.32340319800005,0.05
fish.jpg,goldfish,goldfish,1,0.9828678369522095,rock_beauty,392,0.5414350032806396,1,1,0.1,4352.16796875,47676,0.9501753826530612,43.16921659699983,0.1
fish.jpg,goldfish,goldfish,1,0.9828678369522095,rock_beauty,392,0.49830061197280884,1,1,0.2,4902.23193359375,47673,0.9501155931122449,17.825618864999797,0.2
fish.jpg,goldfish,goldfish,1,0.9828678369522095,rock_beauty,392,0.6440876722335815,1,1,0.2627450980392157,5416.68994140625,47637,0.9493981186224489,18.43763881699988,0.3
castle.jpg,castle,castle,483,0.8645304441452026,stupa,832,0.3647173047065735,1,1,0.05,3198.4697265625,47817,0.9529854910714286,48.020672066000316,0.05
castle.jpg,castle,castle,483,0.8645304441452026,stupa,832,0.40125468373298645,1,1,0.1,3782.056396484375,47815,0.9529456313775511,27.20516622599962,0.1
castle.jpg,castle,castle,483,0.8645304441452026,stupa,832,0.39844343066215515,1,1,0.19607843137254902,3640.893798828125,47750,0.9516501913265306,11.573306514000251,0.2
castle.jpg,castle,castle,483,0.8645304441452026,stupa,832,0.3345564305782318,1,1,0.22745098039215686,4952.84423828125,47803,0.9527064732142857,8.732048592999945,0.3
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.7779671549797058,0,0,0.05,2331.2568359375,47337,0.9434191645408163,234.58266510500016,0.05
cup.jpeg,cup,cup,968,0.9116705656051636,toilet_tissue,999,0.38742077350616455,1,1,0.1,7168.6318359375,47772,0.9520886479591837,99.66719452799998,0.1
cup.jpeg,cup,cup,968,0.9116705656051636,toilet_tissue,999,0.4588676989078522,1,1,0.2,8442.5908203125,47765,0.9519491390306123,37.244768642000054,0.2
cup.jpeg,cup,cup,968,0.9116705656051636,toilet_tissue,999,0.30797192454338074,1,1,0.3,11028.6865234375,47759,0.9518295599489796,44.86461910200023,0.3
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2624797821044922,1,0,0.0,0.0,0,0.0,0.907646171000124,0.05
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.26509636640548706,1,0,0.00392156862745098,56.151580810546875,1071,0.021344866071428572,0.8815514439997969,0.1
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2656964659690857,1,0,0.00784313725490196,97.67803955078125,1294,0.02578922193877551,0.8764309839998532,0.2
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2669578194618225,1,0,0.01568627450980392,177.03671264648438,1434,0.02857940051020408,0.8896163079998587,0.3
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.2684161961078644,1,1,0.05,1275.9205322265625,47284,0.9423628826530612,15.008379832000173,0.05
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.3126799762248993,1,1,0.058823529411764705,1288.846435546875,46391,0.9245655293367347,7.055780630999834,0.1
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.1942681223154068,1,1,0.058823529411764705,1476.70849609375,46893,0.9345703125,3.9580090439999367,0.2
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.3353261649608612,1,1,0.10980392156862745,2120.802734375,47680,0.9502551020408163,3.9905670509997435,0.3
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.8280817270278931,0,0,0.05,3980.630126953125,47726,0.951171875,234.55113312100002,0.05
bubble.jpeg,bubble,bubble,971,0.9997245669364929,chest,492,0.4103522300720215,1,1,0.1,6191.28369140625,47732,0.9512914540816326,41.49464152199971,0.1
bubble.jpeg,bubble,bubble,971,0.9997245669364929,chest,492,0.6741403341293335,1,1,0.2,6291.658203125,47726,0.951171875,18.13232672999993,0.2
bubble.jpeg,bubble,bubble,971,0.9997245669364929,jellyfish,107,0.8538997769355774,1,1,0.3,6254.4365234375,47695,0.950554049744898,11.689656985000056,0.3
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7821557521820068,1,0,0.0,0.0,0,0.0,1.0854527669998788,0.05
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7829898595809937,1,0,0.00392156862745098,41.26742172241211,572,0.011399872448979591,0.9618378780000967,0.1
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7824038863182068,1,0,0.00784313725490196,5.74456262588501,5,9.964923469387755e-05,0.9058219409998856,0.2
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7825279235839844,1,0,0.011764705882352941,8.124038696289062,3,5.978954081632653e-05,0.9040089880004416,0.3
hay.jpeg,hay,hay,958,0.9700143933296204,bath_towel,434,0.4867962896823883,1,1,0.05,3209.303466796875,47699,0.9506337691326531,46.681335021999985,0.05
hay.jpeg,hay,hay,958,0.9700143933296204,bath_towel,434,0.8226902484893799,1,1,0.1,4756.41357421875,47698,0.9506138392857143,30.754890804000297,0.1
hay.jpeg,hay,hay,958,0.9700143933296204,bath_towel,434,0.4681740999221802,1,1,0.2,5834.03466796875,47712,0.9508928571428571,20.655562290000034,0.2
