image_file,human_label,clean_top1_label,clean_top1_idx,clean_top1_prob,hc_top1_label,hc_top1_idx,hc_top1_prob,hc_success,hc_changed_pred,hc_linf,hc_l2,hc_num_pixels_changed,hc_changed_perc,hc_runtime_s,hc_epsilon
fish.jpg,goldfish,goldfish,1,0.9828678369522095,goldfish,1,0.9488033652305603,0,0,0.047058823529411764,275.51043701171875,1203,0.023975605867346938,160.36987802600197,0.05
fish.jpg,goldfish,goldfish,1,0.9828678369522095,goldfish,1,0.7524589896202087,0,0,0.09803921568627451,563.1856079101562,1286,0.025629783163265307,159.13462493300176,0.1
fish.jpg,goldfish,goldfish,1,0.9828678369522095,puffer,397,0.4791997969150543,1,1,0.2,843.970947265625,1107,0.02206234056122449,127.12440094599879,0.2
fish.jpg,goldfish,goldfish,1,0.9828678369522095,puffer,397,0.4851749539375305,1,1,0.20392156862745098,894.0620727539062,896,0.017857142857142856,109.85650352599623,0.3
castle.jpg,castle,castle,483,0.8645304441452026,castle,483,0.799707293510437,0,0,0.05,291.5179138183594,1197,0.023856026785714284,172.34108187499805,0.05
castle.jpg,castle,castle,483,0.8645304441452026,castle,483,0.7186548709869385,0,0,0.1,551.924560546875,1244,0.024792729591836735,161.1746132230037,0.1
castle.jpg,castle,castle,483,0.8645304441452026,castle,483,0.43517005443573,0,0,0.2,1123.7860107421875,1273,0.025370695153061226,159.77977024699794,0.2
castle.jpg,castle,castle,483,0.8645304441452026,palace,698,0.3774125277996063,1,1,0.24313725490196078,1234.9246826171875,1129,0.022500797193877552,131.38347087000147,0.3
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.8832709789276123,0,0,0.047058823529411764,258.83392333984375,1064,0.021205357142857144,158.05900184000348,0.05
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.8510711789131165,0,0,0.1,502.0814208984375,1133,0.022580516581632654,158.22261764599534,0.1
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.8090102076530457,0,0,0.18823529411764706,903.5596313476562,1131,0.0225406568877551,158.25155259400344,0.2
cup.jpeg,cup,cup,968,0.9116705656051636,cup,968,0.7328407764434814,0,0,0.3,1199.4840087890625,1085,0.021623883928571428,157.56591975699848,0.3
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2624797821044922,1,0,0.0,0.0,0,0.0,0.6414023089964758,0.05
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2624797821044922,1,0,0.0,0.0,0,0.0,0.7924270639996394,0.1
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2624797821044922,1,0,0.0,0.0,0,0.0,0.6498529289965518,0.2
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2624797821044922,1,0,0.0,0.0,0,0.0,0.7711904550014879,0.3
seashore.jpeg,seashore,seashore,978,0.4470938742160797,seashore,978,0.3360203802585602,0,0,0.05,294.2255859375,1191,0.023736447704081634,158.76295951799693,0.05
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.3453872799873352,1,1,0.07058823529411765,340.556884765625,885,0.017637914540816327,114.78455039500113,0.1
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.34311649203300476,1,1,0.13333333333333333,372.1531982421875,579,0.01153938137755102,70.25809833499807,0.2
seashore.jpeg,seashore,seashore,978,0.4470938742160797,sandbar,977,0.338851660490036,1,1,0.09803921568627451,343.37152099609375,444,0.008848852040816327,54.35403457099892,0.3
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.9991641044616699,0,0,0.05,283.54254150390625,1175,0.023417570153061226,157.90581018800003,0.05
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.996954083442688,0,0,0.09803921568627451,558.8309326171875,1276,0.025430484693877552,158.41273731100227,0.1
bubble.jpeg,bubble,bubble,971,0.9997245669364929,bubble,971,0.9478782415390015,0,0,0.2,1095.6295166015625,1356,0.02702487244897959,158.11838215800526,0.2
bubble.jpeg,bubble,bubble,971,0.9997245669364929,cassette,481,0.48385584354400635,1,1,0.29411764705882354,1592.5093994140625,1362,0.027144451530612245,155.11066937899886,0.3
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7821557521820068,1,0,0.0,0.0,0,0.0,0.658757279998099,0.05
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7821557521820068,1,0,0.0,0.0,0,0.0,0.6336154099990381,0.1
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7821557521820068,1,0,0.0,0.0,0,0.0,0.6447911290015327,0.2
goblet.jpeg,goblet,cocktail_shaker,503,0.7821557521820068,cocktail_shaker,503,0.7821557521820068,1,0,0.0,0.0,0,0.0,0.6376942679999047,0.3
hay.jpeg,hay,hay,958,0.9700143933296204,hay,958,0.9124236106872559,0,0,0.047058823529411764,294.08673095703125,1190,0.023716517857142856,157.87498439000046,0.05
hay.jpeg,hay,hay,958,0.9700143933296204,hay,958,0.8055340051651001,0,0,0.1,564.114990234375,1284,0.025589923469387755,157.9075889559972,0.1
hay.jpeg,hay,hay,958,0.9700143933296204,dam,525,0.35017383098602295,1,1,0.2,1044.383544921875,1282,0.025550063775510203,147.46322001099907,0.2
hay.jpeg,hay,hay,958,0.9700143933296204,dam,525,0.33174994587898254,1,1,0.23137254901960785,1253.8372802734375,1117,0.022261639030612245,129.30998812799953,0.3
